mp,timeStamp,mean,skew
18.58,1662561426554,4794.043438424443,-4775.463438424443
18.57,1662561427950,4449.518512855319,-4430.94851285532
18.57,1662561430913,4270.244497468227,-4251.674497468227
18.58,1662561434523,4126.830629910564,-4108.250629910564
18.57,1662561441401,4020.6008521089584,-4002.0308521089582
18.58,1662561444148,3876.5967960540947,-3858.016796054095
18.57,1662561458073,3929.6080888670713,-3911.038088867071
18.59,1662561464287,3869.3484108966936,-3850.7584108966935
18.59,1662561467444,3830.6975346156387,-3812.1075346156385
18.59,1662561470124,3798.2344458808493,-3779.644445880849
18.59,1662561476163,3781.4979289494368,-3762.9079289494366
18.59,1662561484511,3733.5975477206835,-3715.0075477206833
18.59,1662561485606,3724.4616842565,-3705.8716842565
18.6,1662561492249,3746.5506924691645,-3727.9506924691646
18.6,1662561495011,3773.4207123701894,-3754.8207123701895
18.6,1662561497856,3835.6978203964673,-3817.0978203964673
18.59,1662561500992,3857.759108033674,-3839.1691080336736
18.59,1662561504053,3879.4200525396514,-3860.830052539651
18.59,1662561507023,3899.871586291984,-3881.281586291984
18.59,1662561513379,3936.32305225924,-3917.7330522592397
18.59,1662561516320,3954.553848313317,-3935.9638483133167
18.57,1662561525421,3994.530859814023,-3975.960859814023
18.56,1662561531685,4001.7368120829415,-3983.1768120829415
18.57,1662561540928,4005.8814582783943,-3987.311458278394
18.57,1662561543977,4011.0279472479674,-3992.4579472479672
18.56,1662561588657,4146.50440347484,-4127.944403474839
18.56,1662561699150,4274.464480547614,-4255.904480547613
18.56,1662561704883,4277.113717958611,-4258.553717958611
18.56,1662561711520,4279.441867374487,-4260.881867374486
18.56,1662561717517,4281.8757811564,-4263.3157811564
18.56,1662561725466,4285.102661261846,-4266.542661261846
18.58,1662561732639,4288.569067189621,-4269.989067189621
18.58,1662561742866,4281.92492446316,-4263.34492446316
18.56,1662561760589,4244.913997665094,-4226.353997665094
18.58,1662561768869,4245.089318328303,-4226.509318328303
18.58,1662561777111,4245.780955960582,-4227.200955960582
18.56,1662561785627,4239.6877446417475,-4221.127744641747
18.56,1662561841196,4252.842224687762,-4234.282224687761
18.56,1662561904362,4302.222736889114,-4283.662736889113
18.56,1662561918883,4303.636444993124,-4285.076444993124
18.57,1662561931021,4302.572253860156,-4284.002253860156
18.56,1662562011101,4315.073824668517,-4296.5138246685165
18.56,1662562024912,4317.436880277945,-4298.876880277945
18.56,1662562039036,4320.882689614915,-4302.322689614914
