bc,ac,tbv,tav,time,mp,minBid
5228517.10,215896738.51,701384.29,309217.61,1663164236672,19.12,19.05
5226835.97,215902765.90,701319.69,309534.69,1663164239682,19.12,19.05
5242414.98,215900295.30,702148.84,309409.99,1663164242648,19.11,19.04
5253140.78,215895546.60,702704.50,309160.31,1663164245524,19.12,19.04
5241920.92,215902292.36,702119.13,309512.11,1663164248619,19.12,19.04
5251815.10,215901907.17,702638.05,309494.06,1663164251550,19.12,19.04
5227912.97,215906428.86,701384.84,309730.47,1663164254529,19.12,19.04
5231207.09,215917223.89,701560.76,310297.03,1663164257515,19.11,19.04
5218507.74,215889029.30,700920.33,308822.66,1663164260684,19.12,19.04
5243997.21,215910614.76,702256.17,309947.34,1663164263516,19.12,19.04
5232768.05,215918398.89,701670.72,310357.29,1663164266639,19.11,19.04
5240812.66,215915191.25,702094.19,310192.27,1663164269711,19.11,19.04
5248356.56,215920177.58,702489.49,310452.97,1663164272653,19.11,19.04
5244247.33,215920177.58,702274.23,310452.97,1663164275605,19.11,19.04
5248559.82,215913290.36,702499.67,310092.67,1663164278562,19.11,19.04
5243541.25,215916842.36,702234.22,310277.41,1663164281544,19.12,19.04
5240898.66,215911734.83,702095.23,310010.48,1663164284555,19.12,19.04
5234827.25,215918284.12,701780.26,310354.00,1663164287531,19.11,19.04
5242295.66,215908339.81,702166.52,309841.87,1663164290894,19.12,19.04
5230628.08,215920451.57,701582.67,310484.00,1663164293964,19.13,19.04
5236270.57,215920480.46,701878.57,310485.63,1663164296933,19.13,19.04
5245794.62,215914223.69,702374.97,310158.98,1663164300012,19.13,19.04
5239936.31,215908120.08,702057.16,309833.22,1663164303525,19.14,19.04
5229353.37,215912841.60,701505.77,310082.94,1663164305766,19.14,19.04
5242173.59,215912783.58,702178.37,310080.62,1663164308709,19.14,19.04
5247485.60,215914351.59,702450.76,310160.77,1663164311651,19.15,19.04
5232793.87,215908966.73,701682.70,309879.56,1663164314752,19.15,19.04
5216376.33,215926489.98,700829.81,310791.85,1663164317833,19.13,19.04
5239530.44,215931212.46,702043.82,311039.73,1663164320651,19.13,19.04
5245645.00,215922950.09,702364.16,310608.04,1663164324450,19.13,19.04
5226234.66,215936628.56,701347.98,311323.08,1663164326703,19.13,19.04
5239168.05,215922355.17,702022.64,310575.95,1663164329551,19.14,19.04
5236915.51,215930964.96,701908.82,311028.83,1663164332638,19.13,19.04
5239101.29,215920704.42,702022.63,310492.69,1663164336054,19.13,19.04
5236022.31,215924127.02,701863.64,310672.54,1663164338918,19.13,19.04
5246546.26,215914523.36,702412.96,310170.76,1663164341907,19.13,19.04
5246461.44,215929146.93,702408.63,310934.85,1663164344828,19.13,19.04
5246273.19,215923282.80,702398.74,310628.73,1663164347747,19.13,19.04
5185292.69,215915971.94,699205.82,310249.42,1663164351348,19.12,19.04
5229979.36,215915975.19,701555.10,310254.10,1663164353668,19.12,19.04
5229079.95,215923412.17,701507.79,310642.62,1663164356632,19.12,19.04
5233302.52,215923115.98,701729.03,310627.62,1663164359751,19.12,19.04
5232901.24,215927928.84,701708.29,310879.25,1663164362710,19.12,19.04
5227598.80,215923318.63,701436.78,310639.89,1663164365560,19.12,19.04
5244415.53,215929561.97,702316.56,310965.84,1663164368656,19.12,19.04
5264764.99,215923351.49,703398.49,310637.10,1663164371550,19.13,19.04
5264426.74,215917808.64,703378.89,310348.97,1663164374651,19.13,19.04
5266325.68,215893091.83,703463.07,309058.20,1663164378407,19.14,19.04
5252255.33,215910349.25,702728.72,309950.79,1663164380727,19.15,19.04
5238936.85,215905991.44,702025.05,309716.23,1663164385380,19.16,19.04
5259641.59,215914866.11,703109.12,310179.40,1663164388022,19.16,19.04
5237191.01,215926992.58,701937.96,310813.64,1663164390636,19.15,19.04
5241907.63,215929472.06,702185.06,310943.45,1663164393625,19.15,19.04
5224281.62,215919814.83,701265.03,310443.26,1663164396766,19.14,19.04
5248982.61,215927919.56,702557.72,310864.14,1663164401544,19.14,19.04
5255803.38,215925615.52,702913.49,310743.19,1663164404713,19.14,19.04
5248112.10,215911083.20,702509.78,309985.44,1663164407116,19.15,19.04
5253108.85,215921754.44,702771.93,310542.17,1663164410611,19.14,19.04
5234609.91,215921640.37,701804.63,310536.29,1663164413507,19.14,19.04
5231123.62,215890307.94,701625.91,308904.73,1663164417600,19.14,19.04
5245063.85,215931796.80,702356.18,311070.06,1663164421662,19.14,19.04
